
 ---------- Best Recommend news -----------
test35 cnt:151 / score 0.318997
test475 cnt:117 / score 0.317453
test157 cnt:494 / score 0.316928
test64 cnt:135 / score 0.316586
test158 cnt:268 / score 0.316208
test223 cnt:144 / score 0.316178
test80 cnt:128 / score 0.315808
test255 cnt:310 / score 0.315466
test429 cnt:110 / score 0.315398
test455 cnt:46 / score 0.314965
test83 cnt:264 / score 0.314193
test399 cnt:244 / score 0.314154
test29 cnt:167 / score 0.314065
test440 cnt:163 / score 0.313355
test343 cnt:250 / score 0.313306
test482 cnt:208 / score 0.313010
test79 cnt:117 / score 0.312625
test273 cnt:223 / score 0.311970
test23 cnt:55 / score 0.311884
test413 cnt:154 / score 0.311574
test414 cnt:171 / score 0.310909
test366 cnt:322 / score 0.310348
test494 cnt:136 / score 0.309551
test132 cnt:199 / score 0.309342
test396 cnt:138 / score 0.308772
test320 cnt:333 / score 0.308388
test348 cnt:283 / score 0.307557
test260 cnt:105 / score 0.307011
test156 cnt:211 / score 0.306945
test302 cnt:280 / score 0.306862
test489 cnt:105 / score 0.306365
test26 cnt:279 / score 0.306288
test202 cnt:239 / score 0.305776
test133 cnt:144 / score 0.305768
test125 cnt:311 / score 0.305499
test436 cnt:356 / score 0.305455
test84 cnt:215 / score 0.303721
test147 cnt:122 / score 0.303298
test408 cnt:261 / score 0.302350
test312 cnt:167 / score 0.302273
test22 cnt:133 / score 0.302019
test329 cnt:64 / score 0.301293
test47 cnt:70 / score 0.300523
test33 cnt:21 / score 0.300249
test239 cnt:214 / score 0.299607
test438 cnt:341 / score 0.299260
test405 cnt:393 / score 0.298618
test178 cnt:227 / score 0.297653
test382 cnt:109 / score 0.297296
test94 cnt:316 / score 0.297293
test298 cnt:123 / score 0.297166
test105 cnt:155 / score 0.297069
test416 cnt:200 / score 0.297000
test478 cnt:157 / score 0.296983
test420 cnt:341 / score 0.296932
test337 cnt:43 / score 0.296464
test175 cnt:277 / score 0.296158
test45 cnt:235 / score 0.295877
test96 cnt:179 / score 0.295328
test104 cnt:230 / score 0.294201
test350 cnt:470 / score 0.294174
test318 cnt:43 / score 0.293798
test66 cnt:112 / score 0.293360
test317 cnt:245 / score 0.293201
test145 cnt:138 / score 0.292639
test108 cnt:101 / score 0.292250
test389 cnt:370 / score 0.292140
test451 cnt:231 / score 0.291501
test144 cnt:86 / score 0.291285
test207 cnt:190 / score 0.291032
test484 cnt:240 / score 0.290863
test398 cnt:280 / score 0.288593
test377 cnt:371 / score 0.288353
test225 cnt:49 / score 0.287796
test171 cnt:210 / score 0.287729
test362 cnt:167 / score 0.286513
test111 cnt:47 / score 0.285890
test174 cnt:180 / score 0.283912
test299 cnt:275 / score 0.283602
test474 cnt:251 / score 0.283534
test400 cnt:243 / score 0.283077
test415 cnt:67 / score 0.282682
test121 cnt:48 / score 0.282014
test68 cnt:119 / score 0.281522
test428 cnt:147 / score 0.279865
test140 cnt:155 / score 0.279572
test188 cnt:87 / score 0.279135
test328 cnt:275 / score 0.278242
test479 cnt:112 / score 0.277164
test44 cnt:221 / score 0.276998
test386 cnt:108 / score 0.276885
test137 cnt:136 / score 0.276334
test46 cnt:193 / score 0.276193
test229 cnt:206 / score 0.276138
test192 cnt:89 / score 0.274885
test412 cnt:49 / score 0.274283
test179 cnt:259 / score 0.274121
test297 cnt:185 / score 0.273913
test321 cnt:127 / score 0.273882
test326 cnt:205 / score 0.273018
test407 cnt:242 / score 0.272775
test86 cnt:378 / score 0.272154
test211 cnt:32 / score 0.272047
test113 cnt:47 / score 0.272030
test314 cnt:137 / score 0.271703
test485 cnt:136 / score 0.271539
test488 cnt:167 / score 0.270793
test100 cnt:59 / score 0.269822
test185 cnt:234 / score 0.268460
test270 cnt:200 / score 0.267480
test467 cnt:232 / score 0.267187
test258 cnt:32 / score 0.266689
test465 cnt:234 / score 0.266310
test49 cnt:50 / score 0.266307
test267 cnt:192 / score 0.266217
test385 cnt:140 / score 0.265379
test30 cnt:117 / score 0.265254
test251 cnt:299 / score 0.265208
test212 cnt:99 / score 0.265048
test427 cnt:189 / score 0.263808
test115 cnt:211 / score 0.263727
test60 cnt:135 / score 0.263506
test162 cnt:86 / score 0.263249
test445 cnt:200 / score 0.263104
test138 cnt:143 / score 0.262592
test448 cnt:177 / score 0.262456
test160 cnt:215 / score 0.261541
test51 cnt:312 / score 0.260390
test443 cnt:236 / score 0.257871
test7 cnt:185 / score 0.257255
test340 cnt:163 / score 0.257050
test199 cnt:188 / score 0.256494
test278 cnt:111 / score 0.255914
test148 cnt:123 / score 0.255699
test77 cnt:144 / score 0.255027
test42 cnt:281 / score 0.255018
test426 cnt:275 / score 0.254929
test194 cnt:327 / score 0.254699
test173 cnt:251 / score 0.254514
test374 cnt:154 / score 0.253764
test383 cnt:274 / score 0.253345
test242 cnt:133 / score 0.252537
test306 cnt:108 / score 0.252491
test397 cnt:141 / score 0.250404
test369 cnt:316 / score 0.250256
test447 cnt:77 / score 0.250191
test106 cnt:171 / score 0.250058
test183 cnt:335 / score 0.249848
test120 cnt:160 / score 0.249126
test54 cnt:128 / score 0.249013
test152 cnt:145 / score 0.248809
test390 cnt:224 / score 0.248633
test97 cnt:208 / score 0.248297
test325 cnt:167 / score 0.247986
test182 cnt:520 / score 0.247279
test217 cnt:182 / score 0.246954
test159 cnt:142 / score 0.245919
test163 cnt:124 / score 0.245563
test402 cnt:226 / score 0.244512
test371 cnt:198 / score 0.244488
test123 cnt:196 / score 0.244257
test122 cnt:221 / score 0.244142
test403 cnt:286 / score 0.244063
test330 cnt:59 / score 0.243130
test9 cnt:81 / score 0.242776
test372 cnt:174 / score 0.242709
test126 cnt:212 / score 0.242698
test301 cnt:146 / score 0.242629
test437 cnt:561 / score 0.242509
test344 cnt:289 / score 0.242242
test452 cnt:189 / score 0.241788
test487 cnt:41 / score 0.241783
test311 cnt:210 / score 0.241099
test172 cnt:169 / score 0.240850
test216 cnt:52 / score 0.240657
test127 cnt:121 / score 0.240514
test365 cnt:230 / score 0.240454
test186 cnt:253 / score 0.240319
test335 cnt:146 / score 0.240199
test184 cnt:89 / score 0.240110
test237 cnt:193 / score 0.239657
test203 cnt:110 / score 0.239544
test149 cnt:296 / score 0.238439
test154 cnt:109 / score 0.238320
test346 cnt:123 / score 0.237674
test351 cnt:252 / score 0.237602
test392 cnt:215 / score 0.237472
test266 cnt:148 / score 0.236971
test289 cnt:138 / score 0.236749
test268 cnt:40 / score 0.236512
test73 cnt:101 / score 0.236076
test90 cnt:197 / score 0.235884
test271 cnt:113 / score 0.235556
test294 cnt:162 / score 0.235087
test101 cnt:171 / score 0.235074
test316 cnt:105 / score 0.234815
test93 cnt:228 / score 0.234243
